# Max time: 1.6 seconds
# Timestep: 2.5e-06 seconds
# Iterations: 640001 per particle per run
# Seed: 2345
# Setup complete, beginning evolution.
# Y: [0, 2e-05]
# Z: [-4e-05, 1e-05]
# Test step: 1 microns.
0 -4e-05 1
0 -3.9e-05 1
0 -3.8e-05 0.984375
0 -3.7e-05 0.96875
0 -3.6e-05 1
0 -3.5e-05 1
0 -3.4e-05 1
0 -3.3e-05 0.984375
0 -3.2e-05 1
0 -3.1e-05 1
0 -3e-05 1
0 -2.9e-05 0.953125
0 -2.8e-05 0.984375
0 -2.7e-05 0.984375
0 -2.6e-05 1
0 -2.5e-05 0.984375
0 -2.4e-05 1
0 -2.3e-05 1
0 -2.2e-05 0.96875
0 -2.1e-05 1
0 -2e-05 1
0 -1.9e-05 1
0 -1.8e-05 1
0 -1.7e-05 1
0 -1.6e-05 1
0 -1.5e-05 1
0 -1.4e-05 1
0 -1.3e-05 1
0 -1.2e-05 1
0 -1.1e-05 1
0 -1e-05 1
0 -9e-06 1
0 -8e-06 1
0 -7e-06 1
0 -6e-06 1
0 -5e-06 1
0 -4e-06 1
0 -3e-06 1
0 -2e-06 1
0 -1e-06 1
0 -1.0099e-13 1
0 1e-06 1
0 2e-06 1
0 3e-06 1
0 4e-06 0.953125
0 5e-06 0.203125
0 6e-06 0.015625
0 7e-06 0.03125
0 8e-06 0
0 9e-06 0.015625
0 1e-05 0.015625
1e-06 -4e-05 1
1e-06 -3.9e-05 1
1e-06 -3.8e-05 1
1e-06 -3.7e-05 1
1e-06 -3.6e-05 1
1e-06 -3.5e-05 0.984375
1e-06 -3.4e-05 1
1e-06 -3.3e-05 1
1e-06 -3.2e-05 1
1e-06 -3.1e-05 0.984375
1e-06 -3e-05 0.984375
1e-06 -2.9e-05 0.984375
1e-06 -2.8e-05 0.984375
1e-06 -2.7e-05 0.984375
1e-06 -2.6e-05 0.984375
1e-06 -2.5e-05 1
1e-06 -2.4e-05 1
1e-06 -2.3e-05 1
1e-06 -2.2e-05 1
1e-06 -2.1e-05 0.984375
1e-06 -2e-05 1
1e-06 -1.9e-05 0.96875
1e-06 -1.8e-05 1
1e-06 -1.7e-05 1
1e-06 -1.6e-05 1
1e-06 -1.5e-05 0.96875
1e-06 -1.4e-05 1
1e-06 -1.3e-05 0.984375
1e-06 -1.2e-05 1
1e-06 -1.1e-05 0.984375
1e-06 -1e-05 1
1e-06 -9e-06 1
1e-06 -8e-06 0.984375
1e-06 -7e-06 1
1e-06 -6e-06 1
1e-06 -5e-06 0.984375
1e-06 -4e-06 1
1e-06 -3e-06 1
1e-06 -2e-06 0.984375
1e-06 -1e-06 1
1e-06 -1.0099e-13 1
1e-06 1e-06 0.984375
1e-06 2e-06 0.984375
1e-06 3e-06 1
1e-06 4e-06 0.953125
1e-06 5e-06 0.359375
1e-06 6e-06 0.03125
1e-06 7e-06 0
1e-06 8e-06 0
1e-06 9e-06 0
1e-06 1e-05 0
2e-06 -4e-05 1
2e-06 -3.9e-05 0.984375
2e-06 -3.8e-05 0.984375
2e-06 -3.7e-05 0.96875
2e-06 -3.6e-05 0.953125
2e-06 -3.5e-05 1
2e-06 -3.4e-05 1
2e-06 -3.3e-05 1
2e-06 -3.2e-05 0.984375
2e-06 -3.1e-05 1
2e-06 -3e-05 1
2e-06 -2.9e-05 1
2e-06 -2.8e-05 1
2e-06 -2.7e-05 1
2e-06 -2.6e-05 0.984375
2e-06 -2.5e-05 1
2e-06 -2.4e-05 0.984375
2e-06 -2.3e-05 0.984375
2e-06 -2.2e-05 1
2e-06 -2.1e-05 0.96875
2e-06 -2e-05 1
2e-06 -1.9e-05 1
2e-06 -1.8e-05 1
2e-06 -1.7e-05 0.984375
2e-06 -1.6e-05 1
2e-06 -1.5e-05 0.984375
2e-06 -1.4e-05 1
2e-06 -1.3e-05 1
2e-06 -1.2e-05 0.984375
2e-06 -1.1e-05 1
2e-06 -1e-05 0.96875
2e-06 -9e-06 0.984375
2e-06 -8e-06 1
2e-06 -7e-06 0.96875
2e-06 -6e-06 0.984375
2e-06 -5e-06 1
2e-06 -4e-06 0.984375
2e-06 -3e-06 1
2e-06 -2e-06 0.984375
2e-06 -1e-06 1
2e-06 -1.0099e-13 0.984375
2e-06 1e-06 1
2e-06 2e-06 0.96875
2e-06 3e-06 0.984375
2e-06 4e-06 0.953125
2e-06 5e-06 0.203125
2e-06 6e-06 0.015625
2e-06 7e-06 0.015625
2e-06 8e-06 0
2e-06 9e-06 0
2e-06 1e-05 0.015625
3e-06 -4e-05 0.96875
3e-06 -3.9e-05 0.984375
3e-06 -3.8e-05 1
3e-06 -3.7e-05 1
3e-06 -3.6e-05 1
3e-06 -3.5e-05 0.96875
3e-06 -3.4e-05 0.984375
