# Max time: 1.3 seconds
# Timestep: 2.7 microsec
# Num particles 1024
# y steps: 4
# z steps: 113
# Iterations: 481482 per particle per run
# y: [0, 9.9e-07]
# z: [-2e-05, 8.1e-06]
# Test step: 0.25 microns.
# Elapsed time: 2298.9 ms
0 -2e-05 0.0917969
# Elapsed time: 2300.85 ms
0 -1.975e-05 1
# Elapsed time: 2298.06 ms
0 -1.95e-05 1
# Elapsed time: 2280.08 ms
0 -1.925e-05 1
# Elapsed time: 2282.84 ms
0 -1.9e-05 1
# Elapsed time: 2300.69 ms
0 -1.875e-05 1
# Elapsed time: 2280.26 ms
0 -1.85e-05 1
# Elapsed time: 2282.79 ms
0 -1.825e-05 1
# Elapsed time: 2302.73 ms
0 -1.8e-05 1
# Elapsed time: 2299.07 ms
0 -1.775e-05 1
# Elapsed time: 2280.36 ms
0 -1.75e-05 1
# Elapsed time: 2280.34 ms
0 -1.725e-05 1
# Elapsed time: 2302.95 ms
0 -1.7e-05 1
# Elapsed time: 2280.42 ms
0 -1.675e-05 1
# Elapsed time: 2282.18 ms
0 -1.65e-05 1
# Elapsed time: 2303.33 ms
0 -1.625e-05 1
# Elapsed time: 2299.04 ms
0 -1.6e-05 1
# Elapsed time: 2280.29 ms
0 -1.575e-05 1
# Elapsed time: 2282.82 ms
0 -1.55e-05 1
# Elapsed time: 2298.79 ms
0 -1.525e-05 1
# Elapsed time: 2280.19 ms
0 -1.5e-05 1
# Elapsed time: 2280.15 ms
0 -1.475e-05 1
# Elapsed time: 2303.61 ms
0 -1.45e-05 1
# Elapsed time: 2299.73 ms
0 -1.425e-05 1
# Elapsed time: 2280.18 ms
0 -1.4e-05 1
# Elapsed time: 2282.62 ms
0 -1.375e-05 1
# Elapsed time: 2300.73 ms
0 -1.35e-05 1
# Elapsed time: 2280.22 ms
0 -1.325e-05 1
# Elapsed time: 2280.08 ms
0 -1.3e-05 1
# Elapsed time: 2304.29 ms
0 -1.275e-05 1
# Elapsed time: 2280.17 ms
0 -1.25e-05 1
# Elapsed time: 2281.97 ms
0 -1.225e-05 1
# Elapsed time: 2294.69 ms
0 -1.2e-05 1
# Elapsed time: 2298.59 ms
0 -1.175e-05 1
# Elapsed time: 2280.09 ms
0 -1.15e-05 1
# Elapsed time: 2280.39 ms
0 -1.125e-05 1
# Elapsed time: 2299.75 ms
0 -1.1e-05 1
# Elapsed time: 2280.14 ms
0 -1.075e-05 1
# Elapsed time: 2282.17 ms
0 -1.05e-05 1
# Elapsed time: 2304.91 ms
0 -1.025e-05 1
# Elapsed time: 2280.18 ms
0 -1e-05 1
# Elapsed time: 2281.34 ms
0 -9.75e-06 1
# Elapsed time: 2304.47 ms
0 -9.5e-06 1
# Elapsed time: 2299.85 ms
0 -9.25e-06 1
# Elapsed time: 2280.21 ms
0 -9e-06 1
# Elapsed time: 2281.45 ms
0 -8.75e-06 1
# Elapsed time: 2297.56 ms
